Experiment_Name,PPG_state,VDD,VCC,ERASE_PROG,OUT1,OUT2,KGAIN1,KGAIN2,TRIM1,TRIM2,X2,IREFP,F11,F12,X1,IMEAS,OUT1_current,OUT2_current
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,3e-08,5e-08,1.1485e-07,1.4955e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3e-08,5e-08,1.4425e-07,9.6225e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3e-08,5e-08,1.4645e-07,1.5825e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3e-08,5e-08,2.147e-07,1.01845e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3e-08,5e-08,6.868e-07,1.5865e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3e-08,5e-08,2.227e-07,3.43e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3e-08,5e-08,2.209e-07,1.5785e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,3.4999999999999996e-08,5e-08,1.117e-07,9.0595e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,3.4999999999999996e-08,5e-08,6.645e-07,1.362e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,3.4999999999999996e-08,5e-08,1.233e-07,9.265e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,3.4999999999999996e-08,5e-08,7.44e-07,1.452e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3.4999999999999996e-08,5e-08,1.9245e-07,1.081e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,3.4999999999999996e-08,5e-08,7.702e-07,1.4975e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3.4999999999999996e-08,5e-08,1.06785e-05,3.5035e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,3.4999999999999996e-08,5e-08,2.495e-07,1.4065e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3.4999999999999996e-08,5e-08,1.13065e-05,2.1745e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,3.4999999999999996e-08,5e-08,2.353e-07,1.371e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4e-08,5e-08,1.01675e-05,1.552e-07
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4e-08,5e-08,7.4245e-07,1.2935e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4e-08,5e-08,2.021e-07,1.417e-05
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4e-08,5e-08,6.505e-07,1.2355e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4e-08,5e-08,5.6045e-07,1.7025e-06
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4e-08,5e-08,4.4175e-07,1.282e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4e-08,5e-08,1.124e-05,1.205e-07
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4e-08,5e-08,2.0875e-07,1.2615e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4e-08,5e-08,2.5035e-07,3.261e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,1e-07,5e-08,4e-08,5e-08,2.194e-07,1.188e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4.5e-08,5e-08,2.3355e-07,4.45e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,0.0,5e-08,4.5e-08,5e-08,2.5455e-07,1.1925e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4.5e-08,5e-08,1.1325e-05,2.055e-08
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,2.5e-08,5e-08,4.5e-08,5e-08,1.1315e-05,1.3715e-08
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4.5e-08,5e-08,1.1155e-05,1.8895e-07
4q_mult,PROGRAM,1.8,5.0,0.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,5e-08,5e-08,4.5e-08,5e-08,1.1275e-05,1.315e-11
4q_mult,ERASE,1.8,5.0,5.0,1.8,1.8,0.0,0.0,1e-07,1e-07,5e-08,1e-07,7.5e-08,5e-08,4.5e-08,5e-08,1.1286e-05,2.1415e-08
